2.184834084625316475e+00 8.996665949794982353e+00 1.000000000000000000e+00
7.110698439636503387e+00 1.336211551811564391e+02 0.000000000000000000e+00
1.208054131180729573e+00 4.110327336143535071e+00 1.000000000000000000e+00
6.182114212856122393e+00 1.189113321510373709e+02 0.000000000000000000e+00
3.964314412233963303e+00 1.648056768931452254e+01 1.000000000000000000e+00
6.804722922714640632e+00 1.340700491280666427e+02 0.000000000000000000e+00
4.000459667408110320e+00 1.454385476798020882e+01 1.000000000000000000e+00
3.730217597120344397e+00 7.617006051584984050e+01 0.000000000000000000e+00
2.371310812290233550e+00 8.649197174797688348e+00 1.000000000000000000e+00
3.176983225209141004e+00 6.325780248492207392e+01 0.000000000000000000e+00
3.299047820941939158e+00 1.434855704082682060e+01 1.000000000000000000e+00
7.819700652167878907e+00 1.642623573642001418e+02 0.000000000000000000e+00
2.699309830207320182e+00 9.308597874315259091e+00 1.000000000000000000e+00
4.015835123143400409e+00 7.963484420407847608e+01 0.000000000000000000e+00
4.532280756682562028e+00 1.889119987710226667e+01 1.000000000000000000e+00
6.839006798722164326e+00 1.385968488774000491e+02 0.000000000000000000e+00
3.590169039629121706e+00 1.472299068986406390e+01 1.000000000000000000e+00
3.731340868463466798e+00 7.055778355022656001e+01 0.000000000000000000e+00
2.338986327657860187e+00 1.121631004360797057e+01 1.000000000000000000e+00
5.493711991839517417e+00 1.072414171471477999e+02 0.000000000000000000e+00
